,ano,mes,id_categoria,id_categoria_bd,categoria,peso_mensal,variacao_mensal,variacao_anual,variacao_doze_meses
65,2020,7,1101051,1.1.01.051,Feijão - mulatinho,0.0304,-0.14,35.66,
66,2020,6,1101051,1.1.01.051,Feijão - mulatinho,0.0285,7.08,35.85,
67,2020,4,1101051,1.1.01.051,Feijão - mulatinho,0.0244,14.58,24.83,
68,2020,8,1101051,1.1.01.051,Feijão - mulatinho,0.0303,-1.37,33.8,
69,2020,2,1101051,1.1.01.051,Feijão - mulatinho,0.0238,-3.21,2.11,
70,2020,11,1101051,1.1.01.051,Feijão - mulatinho,0.0291,0.05,33.32,
71,2020,3,1101051,1.1.01.051,Feijão - mulatinho,0.023,6.7,8.95,
72,2020,6,1101052,1.1.01.052,Feijão - preto,0.0748,6.66,27.68,
73,2020,8,1101052,1.1.01.052,Feijão - preto,0.0803,-0.42,28.7,
74,2020,11,1101052,1.1.01.052,Feijão - preto,0.084,2.15,40.64,
75,2020,2,1101052,1.1.01.052,Feijão - preto,0.0607,2.42,-0.5,
76,2020,10,1101052,1.1.01.052,Feijão - preto,0.0827,2.36,37.68,
77,2020,4,1101052,1.1.01.052,Feijão - preto,0.0628,10.4,11.31,
78,2020,5,1101052,1.1.01.052,Feijão - preto,0.0694,7.54,19.71,
79,2020,9,1101052,1.1.01.052,Feijão - preto,0.0798,4.51,34.5,
80,2020,12,1101052,1.1.01.052,Feijão - preto,0.0851,3.39,45.41,45.41
81,2020,1,1101052,1.1.01.052,Feijão - preto,0.0625,-2.85,-2.85,
82,2020,3,1101052,1.1.01.052,Feijão - preto,0.0622,1.33,0.83,
83,2020,7,1101052,1.1.01.052,Feijão - preto,0.0796,1.23,29.25,
84,2020,4,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0184,4.45,25.58,
85,2020,3,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0172,7.22,20.23,
86,2020,9,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0215,20.58,70.03,
87,2020,2,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0167,3.48,12.13,
