,ano,mes,id_categoria,id_categoria_bd,categoria,peso_mensal,variacao_mensal,variacao_anual,variacao_doze_meses
0,2020,3,,0.0.00.000,Índice geral,100.0,0.07,0.53,
1,2020,5,,0.0.00.000,Índice geral,100.0,-0.38,-0.16,
2,2020,1,,0.0.00.000,Índice geral,100.0,0.21,0.21,
3,2020,6,,0.0.00.000,Índice geral,100.0,0.26,0.1,
4,2020,8,,0.0.00.000,Índice geral,100.0,0.24,0.7,
5,2020,4,,0.0.00.000,Índice geral,100.0,-0.31,0.22,
6,2020,9,,0.0.00.000,Índice geral,100.0,0.64,1.34,
7,2020,2,,0.0.00.000,Índice geral,100.0,0.25,0.46,
8,2020,7,,0.0.00.000,Índice geral,100.0,0.36,0.46,
9,2020,12,,0.0.00.000,Índice geral,100.0,1.35,4.52,4.52
10,2020,10,,0.0.00.000,Índice geral,100.0,0.86,2.22,
11,2020,11,,0.0.00.000,Índice geral,100.0,0.89,3.13,
12,2020,3,1,1.0.00.000,Alimentação e bebidas,19.3545,1.13,1.63,
13,2020,11,1,1.0.00.000,Alimentação e bebidas,20.6985,2.54,12.14,
14,2020,5,1,1.0.00.000,Alimentação e bebidas,19.9696,0.24,3.7,
15,2020,7,1,1.0.00.000,Alimentação e bebidas,20.1194,0.01,4.1,
16,2020,10,1,1.0.00.000,Alimentação e bebidas,20.4823,1.93,9.37,
17,2020,4,1,1.0.00.000,Alimentação e bebidas,19.5588,1.79,3.45,
18,2020,12,1,1.0.00.000,Alimentação e bebidas,21.037,1.74,14.09,14.09
19,2020,8,1,1.0.00.000,Alimentação e bebidas,20.0474,0.78,4.91,
20,2020,2,1,1.0.00.000,Alimentação e bebidas,19.3816,0.11,0.5,
21,2020,1,1,1.0.00.000,Alimentação e bebidas,19.3483,0.39,0.39,
22,2020,6,1,1.0.00.000,Alimentação e bebidas,20.0937,0.38,4.09,
23,2020,9,1,1.0.00.000,Alimentação e bebidas,20.1553,2.28,7.3,
